날짜,순위,제목,가수
2024-10-19,3,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
2024-10-19,4,UP (KARINA Solo),aespa
2024-10-19,5,내 이름 맑음,QWER
2024-10-19,6,HAPPY,DAY6 (데이식스)
2024-10-19,7,Supernova,aespa
2024-10-19,8,녹아내려요,DAY6 (데이식스)
2024-10-19,9,Welcome to the Show,DAY6 (데이식스)
2024-10-19,10,한 페이지가 될 수 있게,DAY6 (데이식스)
2024-10-19,11,고민중독,QWER
2024-10-19,12,Supersonic,프로미스나인
2024-10-19,13,Supernatural,NewJeans
2024-10-19,14,MEOW,MEOVV (미야오)
2024-10-19,15,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2024-10-19,16,How Sweet,NewJeans
2024-10-19,17,Drowning,WOODZ
2024-10-19,18,내게 사랑이 뭐냐고 물어본다면,로이킴
2024-10-19,19,소나기,이클립스 (ECLIPSE)
2024-10-19,20,Sticky,KISS OF LIFE
2024-10-19,21,Small girl (feat. 도경수(D.O.)),이영지
2024-10-19,22,달랐을까,PLAVE
2024-10-19,23,예뻤어,DAY6 (데이식스)
2024-10-19,24,Armageddon,aespa
2024-10-19,25,첫 만남은 계획대로 되지 않아,TWS (투어스)
2024-10-19,26,나는 아픈 건 딱 질색이니까,(여자)아이들
2024-10-19,27,네모네모,YENA (최예나)
2024-10-19,28,Bubble Gum,NewJeans
2024-10-19,29,클락션 (Klaxon),(여자)아이들
2024-10-19,30,Magnetic,아일릿(ILLIT)
2024-10-19,31,SOS,FIFTY FIFTY
2024-10-19,32,천상연,이창섭
2024-10-19,33,Love wins all,아이유(IU)
2024-10-19,34,Pineapple Slice,백현(BAEKHYUN)
2024-10-19,35,에피소드,이무진
2024-10-19,36,별별별 (See that?),NMIXX
2024-10-19,37,해야 (HEYA),IVE (아이브)
2024-10-19,38,Hype Boy,NewJeans
